Position,Age,Experience,Salary_Rub
Business analyst,29,10 месяцев,90000
Investment Analyst,36,2 года 8 месяцев,137535
Data analyst | Product analyst,28,,183380
аналитик,33,3 месяца,73352
Аналитик,33,1 год 3 месяца,35000
Аналитик,29,6 месяцев,60000
Аналитик,23,3 года,225000
Аналитик,24,2 года 6 месяцев,40000
Аналитик,35,2 года 1 месяц,35000
Аналитик,30,2 месяца,25000
Аналитик,30,1 год 3 месяца,44000
Аналитик,35,3 месяца,25000
Аналитик,34,2 года 10 месяцев,30000
Аналитик,33,1 год 9 месяцев,60000
Аналитик,32,1 год 10 месяцев,40000
Аналитик,26,,60000
Аналитик,30,7 месяцев,35000
Аналитик,26,1 год 10 месяцев,30000
аналитик,40,1 год 4 месяца,40000
аналитик,40,2 года 3 месяца,40000
Аналитик,32,,35000
Аналитик,39,2 года 7 месяцев,80000
Аналитик,32,1 год 11 месяцев,150000
Аналитик,33,1 год 7 месяцев,45000
Аналитик,29,,30000
Аналитик,38,1 год 6 месяцев,20000
Аналитик,37,2 года 9 месяцев,55000
аналитик,33,,20000
Аналитик,28,,25000
Аналитик,37,1 год 5 месяцев,30000
Аналитик,30,10 месяцев,35000
Аналитик,32,3 месяца,40000
Аналитик,32,1 год 2 месяца,30000
аналитиком,28,1 год 3 месяца,40000
Аналитик,32,,45000
Аналитик,28,10 месяцев,45000
Аналитик,30,1 год 7 месяцев,68992
Аналитик,35,1 год 1 месяц,50000
Аналитик,32,2 года 8 месяцев,150000
Аналитик,29,2 года 4 месяца,60000
Аналитик,30,1 год 4 месяца,20000
Аналитик,30,1 год,30000
Аналитик,49,,75000
Аналитик,42,,150000
Аналитик,34,,30000
Аналитик,39,2 года 5 месяцев,30000
Аналитик,33,2 года 6 месяцев,45000
Аналитик,29,10 месяцев,50000
Аналитик,37,4 месяца,30000
Аналитик,38,,20000
Аналитик,29,1 год 4 месяца,55000
Аналитик,29,,60000
Аналитик,27,11 месяцев,100000
Аналитик,27,2 года 10 месяцев,50000
Аналитик,26,,70000
аналитик,37,2 месяца,40000
аналитик,34,10 месяцев,25000
Аналитик,33,2 года 1 месяц,50000
Аналитик,32,3 месяца,20000
Аналитик,30,2 года 7 месяцев,20000
Аналитик,30,1 год 2 месяца,35000
Аналитик,28,,60000
Аналитик,32,,40000
Аналитик,36,,15000
Business analyst,28,4 месяца,25000
Financial analyst,26,5 месяцев,30000
Specialist/analyst,34,9 месяцев,90000
Investment Analyst,28,2 года 11 месяцев,190000
Аналитик,33,2 года 7 месяцев,40000
Аналитик,36,6 месяцев,30000
Аналитик,36,,50000
Аналитик,36,2 года 10 месяцев,30000
Аналитик,24,4 месяца,55000
Аналитик,29,1 год 7 месяцев,40000
Аналитик,33,6 месяцев,15000
Аналитик,25,,50000
Аналитик,33,1 год 9 месяцев,40000
Аналитик,25,10 месяцев,110028
Аналитик,26,2 года 9 месяцев,90000
Аналитик,26,,50000
Аналитик,34,,35000
аналитик/ассистент аналитика,33,,10000
Аналитик- младший аналитик,36,4 года 5 месяцев,30000
Real Estate Analyst,35,2 года 3 месяца,275070
Cashier/operations analyst,32,,35000
Business development analyst,30,1 год 5 месяцев,60000
Revenue Management Analyst,28,1 год 1 месяц,65000
Graduate Investments Analyst,27,11 месяцев,80000
Trend Researcher/Analyst,38,3 месяца,70000
экономист-аналитик,36,2 года 10 месяцев,25000
аналитик-программист,39,1 год 11 месяцев,15000
системный аналитик,49,6 месяцев,90000
финансовый аналитик,36,7 месяцев,45000
аналитик финансист,33,,70000
консультант-аналитик,34,3 месяца,40000
экономист-аналитик,32,,20000
SEO аналитик.,33,,20000
Программист- Аналитик,34,5 месяцев,30000
Трейдер-аналитик,38,2 года 9 месяцев,183380
Финансовый аналитик,30,,25000
Финансовый аналитик,32,1 год 8 месяцев,45000
Финансовый аналитик,33,5 месяцев,30000
Бизнес аналитик,33,,30000
Копирайтер/ Аналитик,37,2 года 7 месяцев,45000
специалист-аналитик,37,1 год,88888
аналитик-консультант,34,,50000
Экономист-аналитик,38,3 года,35000
Финансовый аналитик,30,1 год 9 месяцев,25000
Стажер-аналитик,30,1 год,25000
Аналитик СМИ,30,1 год 5 месяцев,35000
Экономист-аналитик,35,,70000
Финансовый аналитик,32,1 год 7 месяцев,35000
Трейдер-аналитик,28,,40000
Аналитик- младший аналитик- researcher,30,1 год,40000
Бизнес-аналитик,32,,30000
Трейдер-аналитик,30,1 год 10 месяцев,50000
Спортивный аналитик,29,,50000
Бизнес-аналитик,35,2 года 11 месяцев,80000
Маркетолог-аналитик-,29,3 месяца,35000
Экономист-аналитик,30,,45000
Стажер-аналитик,27,,10000
Стажёр-аналитик,26,,20000
Химик-аналитик,30,,40000
Помощник аналитика,30,1 год 5 месяцев,40000
Финансовый аналитик,27,1 год 3 месяца,50000
Бизнес-аналитик,28,,30000
Экономист-аналитик,30,,30000
Политолог-аналитик,34,1 год 1 месяц,45000
Экономист-аналитик,34,,18000
Помощник аналитика,35,,15000
Политолог-аналитик,33,,20000
консультант-аналитик,38,2 года 10 месяцев,30000
Химик-аналитик,36,6 месяцев,20000
Финансовый Аналитик,38,1 год,30000
Информатик аналитик,37,5 месяцев,20000
Финансовый аналитик,36,2 года 2 месяца,35000
Системный аналитик,26,5 месяцев,40000
Бизнес-аналитик,25,2 года 1 месяц,50000
Младший аналитик,28,3 месяца,35000
Младший аналитик,27,,45000
Клиентский аналитик,24,,250000
маркетолог-аналитик,37,1 год,35000
консультант-аналитик,33,6 месяцев,25000
кредитный аналитик,36,2 года 7 месяцев,30000
Финансовый аналитик,36,1 год,45000
журналист-аналитик,35,4 месяца,25000
консультант-аналитик,33,1 год,15000
Экономист-аналитик,32,1 год 10 месяцев,80000
Стажер-аналитик,30,,25000
Стажер-аналитик,30,,30000
Трейдер-аналитик,34,1 год 2 месяца,40000
Системный аналитик- Бизнес-аналитик,30,2 года 2 месяца,50000
Консультант- аналитик,32,,40000
Экономист/аналитик,32,1 год 2 месяца,30000
Специалист-аналитик,34,10 месяцев,60000
Финансовый аналитик,32,,50000
Ассистент аналитика,29,3 месяца,40000
Химик-аналитик,32,,40000
Стажер-аналитик,34,,35000
Стажер-аналитик,30,6 месяцев,25000
Финансовый аналитик,30,2 года 2 месяца,40000
Бизнес-аналитик,34,2 года 6 месяцев,70000
Финансовый аналитик,30,8 месяцев,15000
Трейдер-аналитик,28,,50000
Экономист-аналитик,30,9 месяцев,40000
Младший аналитик,30,,30000
Стажер-аналитик,28,,45000
Политическая аналитика,28,7 месяцев,40000
Бизнес-аналитик,28,,40000
Бизнес-аналитик,25,,40000
Трейдер-аналитик,46,,40000
Химик-аналитик,34,1 год 6 месяцев,50000
Советник/аналитик,36,,25000
финансовый аналитик,40,2 года 11 месяцев,35000
Финансовый аналитик,37,11 месяцев,45000
Финансовый аналитик,37,1 год 2 месяца,40000
Экономист-аналитик,38,6 месяцев,25000
Аналитик. менеджер,37,1 год 1 месяц,50000
Финансовый аналитик,25,,25000
Криптовалютный аналитик,25,,50000
Химик-аналитик,30,,18000
Бизнес-аналитик,27,,35000
Бизнес-аналитик,25,5 месяцев,100000
Менеджер / аналитик,28,3 года,130000
Аналитик данных,24,2 года 9 месяцев,150000
Бизнес-аналитик,22,,25000
Системный аналитик,25,1 год 5 месяцев,85000
финансовый аналитик,35,,50000
консультант-аналитик,32,,25000
младший аналитик,33,2 месяца,30000
Бизнес-аналитик,32,1 год 9 месяцев,40000
Стажер-аналитик,30,7 месяцев,16000
экономист-аналитик,30,4 месяца,40000
Помощник аналитика,32,,25000
Химик-аналитик,50,2 года 11 месяцев,30000
Бизнес-аналитик,32,1 год 1 месяц,120000
Аналитик/Тестировщик,27,6 месяцев,20000
Аналитик-математик,28,,40000
Стажер-аналитик,34,,30000
Стажер-аналитик,28,,40000
Финансовый аналитик,35,,50000
Аналитик- консультант-,32,1 год 7 месяцев,20000
Экономист-аналитик,30,6 месяцев,20000
Стажер-аналитик,29,1 год,45000
Стажер-аналитик,28,,15000
Стажер-аналитик,29,,25000
Стажер-аналитик,29,,40000
Стажер-аналитик,27,,20000
Финансовый аналитик,52,2 года 2 месяца,150000
Экономист-аналитик,29,2 месяца,25000
Стажер-аналитик,28,,20000
Эксперт-аналитик,30,4 месяца,50000
Стажер-аналитик,25,,10000
Помощник аналитика,29,,30000
Бизнес-аналитик,28,1 год 1 месяц,60000
Младший аналитик,35,,20000
Политолог-аналитик,36,8 месяцев,35000
Аналитик-стажер,36,,20000
Помощник аналитика,34,,20000
Финансовый аналитик,35,,30000
Финансовый аналитик,34,1 год 4 месяца,40000
Финансовый аналитик,45,,35000
Финансовый аналитик,35,4 месяца,30000
Ассистент-аналитика,35,2 года 1 месяц,15000
аналитик-консультант,54,,50000
маркетолог-аналитик,50,,65000
помощник аналитика,36,2 года 6 месяцев,40000
IT-аналитик,52,,60000
Системный аналитик,38,,25000
Финансовый аналитик,29,1 год 5 месяцев,60000
Аналитик-стажер,25,,25000
Аналитик-стажер,24,2 года 4 месяца,30000
Аналитик-стажер,24,1 месяц,30000
Специалист-аналитик,25,1 год 3 месяца,65000
Маркетолог-аналитик,24,2 года,50000
Маркетолог-аналитик,42,2 года 10 месяцев,45000
финансовый аналитик,36,2 года,25000
маркетолог-аналитик,37,1 год,35000
консультант-аналитик,35,9 месяцев,50000
ИТ-аналитик,34,8 месяцев,230000
Системный аналитик,36,1 год 8 месяцев,40000
Финансовый аналитик,30,1 месяц,20000
Финансовый аналитик,30,,30000
Помощник аналитика,33,9 месяцев,40000
Математик аналитик,34,1 год 2 месяца,50000
Аналитик-стажер,32,1 год 7 месяцев,35000
Маркетолог-аналитик,32,1 год 3 месяца,40000
Эконономист- аналитик,32,6 месяцев,50000
Спортивный аналитик,38,11 месяцев,40000
Аналитик-стажер,30,1 год 6 месяцев,10000
Финансовый аналитик,29,,15000
Аналитик- переводчик,30,,45000
Системный аналитик,29,,40000
Стажер-аналитик,30,,35000
Экономист-аналитик,33,,50000
Бизнес-аналитик,28,5 месяцев,40000
Стажер-аналитик,27,,35000
Экономист-аналитик,28,1 год 4 месяца,35000
Аналитик/Политолог.,28,,30000
Спортивный аналитик,27,5 месяцев,45000
Спортивный аналитик,30,1 год 4 месяца,30000
Экономист-аналитик,33,,25000
Кредитный аналитик,33,2 года 9 месяцев,60000
Экономист-аналитик,35,,25000
Референт-аналитик,34,,18000
Банковский аналитик,35,,25000
маркетолог-аналитик,39,2 года 4 месяца,50000
Аналитик - постановщик,40,1 год 9 месяцев,45000
Консультант-аналитик,63,,40000
финансовый аналитик,38,,40000
Экономист-аналитик,25,,40000
Бизнес-аналитик,25,3 года,200000
Стажер-аналитик,26,10 месяцев,40000
Системный аналитик,27,8 месяцев,50000
Ассистент аналитика,25,1 год 5 месяцев,30000
Экономист-аналитик,38,2 года 1 месяц,25000
Ассистент аналитика,34,3 месяца,25000
Экономист-аналитик,36,1 год 5 месяцев,25000
Логист- аналитик,35,3 года,50000
аналитик-программист,33,,25000
аналитик медиа,36,2 года 1 месяц,40000
Cтажёр - аналитик,34,,40000
Бизнес - аналитик,33,1 год,100000
Кредитный аналитик,32,,28000
Спортивный аналитик,30,3 месяца,25000
Бизнес-аналитик,33,,45000
Аналитик-стажер,27,2 месяца,25000
Риск-аналитик,32,10 месяцев,80000
Бизнес-аналитик,28,6 месяцев,15000
Финансовый аналитик,30,1 год 3 месяца,60000
Трейдер-аналитик,53,1 год,98560
Аналитик СМИ,40,,50000
Химик-аналитик,36,1 год 8 месяцев,40000
Стажер-аналитик,29,,30000
Инвестиционный аналитик,27,3 месяца,40000
Маркетолог-аналитик,30,,15000
Спортивный аналитик,32,1 год 5 месяцев,30000
Ассистент аналитика,30,,35000
Финансовый аналитик,27,1 год 6 месяцев,100000
Маркетолог-аналитик,27,10 месяцев,35000
Спортивный аналитик,32,3 месяца,50000
Бизнес-аналитик,28,7 месяцев,60000
Стажер-аналитик,29,,20000
Финансовый аналитик,29,1 год 2 месяца,50000
Аналитик-программист,32,,55000
Экономист-аналитик,32,6 месяцев,40000
Экономист-аналитик,38,,60000
Финансовый аналитик,36,,70000
Спортивный аналитик,39,2 года 8 месяцев,35000
Маркетинг-аналитик,34,6 месяцев,25000
Финансовый аналитик,35,5 месяцев,35000
Референт-аналитик,35,,8000
Химик-аналитик,35,,25000
Финансовый аналитик,34,1 год 2 месяца,25000
Финансовый аналитик,36,2 года 9 месяцев,25000
Системный аналитик,42,,50000
Финансовый аналитик,36,,91690
Финансовый аналитик,39,2 года 9 месяцев,50000
Бизнес-аналитик,38,2 года 7 месяцев,30000
Консультант-аналитик,49,,50000
финансовый аналитик,36,6 месяцев,20000
Стажёр-аналитик,32,,20000
Digital-аналитик,24,,40000
Стажер-аналитик,27,,25000
Аналитик,27,5 месяцев,80000
Аналитик,30,,35000
Audit and S&OP Analyst,28,,155000
Аналитик,36,1 месяц,40000
Спам-аналитик,32,6 месяцев,25000
Бизнес-аналитик,36,,25000
Бизнес-аналитик,26,2 года 3 месяца,120000
Экономист-аналитик,32,1 год 1 месяц,80000
Бизнес-аналитик,28,2 года 9 месяцев,50000
логист- аналитик,42,2 года 10 месяцев,30000
Финансовый аналитик,30,5 месяцев,50000
Экономист-аналитик,28,1 год 4 месяца,35000
финансовый аналитик,32,2 месяца,30000
Экономист-аналитик,37,1 год 10 месяцев,36000
Финансовый аналитик,25,1 год 7 месяцев,60000
Аналитик стажер,36,7 месяцев,25000
Аналитик-стажер,33,8 месяцев,35000
Трейдер-аналитик,30,1 год 9 месяцев,60000
Стажер-аналитик,23,,45000
Бизнес-аналитик,30,1 год 5 месяцев,120000
Химик-аналитик,32,,30000
Аналитик-стажер,28,,30000
Бизнес-аналитик,27,2 года 10 месяцев,200000
Маркетолог-аналитик,36,9 месяцев,90000
Экономист-аналитик,30,1 год,40000
Стажер-аналитик,29,,30000
Финансовый аналитик,32,,91690
Кредитный аналитик,29,1 год 5 месяцев,30000
Бизнес-аналитик,23,,30000
Маркетолог-аналитик,32,1 год 1 месяц,45000
Младший аналитик,32,8 месяцев,20000
Аналитик-стажер,32,,40000
Бизнес-аналитик,29,,30000
Стажер-аналитик,28,,30000
Спортивный аналитик,34,1 год 11 месяцев,50000
Экономист-аналитик,32,1 год,70000
Финансовый аналитик,29,1 год 8 месяцев,35000
Инвестиционный аналитик,32,1 год 5 месяцев,35000
Кредитный аналитик,33,2 года 6 месяцев,45000
Спортивный аналитик,30,2 года 9 месяцев,40000
Экономист-аналитик,30,5 месяцев,30000
Финансовый аналитик,28,,50000
Инвестиционный аналитик,26,1 год 9 месяцев,70000
Стажер-аналитик,27,,30000
Стажер аналитик,23,,30000
Финансовый аналитик,34,2 года 6 месяцев,45845
бизнес-аналитик,34,11 месяцев,30000
Финансовый аналитик,33,2 месяца,65000
Стажер-аналитик,29,2 месяца,15000
Стажер-аналитик,26,3 месяца,20000
Аналитик-стажер,28,3 месяца,30000
Бизнес-аналитик,29,5 месяцев,30000
Бизнес-аналитик,25,1 год 4 месяца,50000
Стажер-аналитик,27,,30000
Системный аналитик,30,2 года 3 месяца,30000
Менеджер Аналитик,30,,30000
Аналитик-стажер,26,4 месяца,50000
продуктовый аналитик,26,11 месяцев,80000
Экономист-аналитик,19,1 год,50000
Финансовый аналитик,32,,25000
Экономист-аналитик,33,1 год 4 месяца,50000
Экономист-аналитик,33,7 месяцев,45000
Стажер-аналитик,29,,30000
Младший аналитик,30,7 месяцев,20000
Начинающий аналитик,29,1 год 1 месяц,40000
Финансовый аналитик,39,2 года 6 месяцев,35000
Финансовый аналитик,27,1 год 1 месяц,70000
Химик-аналитик,27,2 года,55000
Инвестиционный аналитик,28,1 год 1 месяц,90000
Системный аналитик,27,2 года,75000
Аналитик-стажер,28,2 года 4 месяца,40000
Помощник аналитика,33,,28000
Стажер-аналитик,28,,20000
Аналитик-стажер,30,1 год 9 месяцев,40000
Младший аналитик,32,,25000
Экономист-аналитик,32,,40000
Экономист-аналитик,34,1 год 3 месяца,65000
Стажер-аналитик,28,,50000
Бизнес-аналитик,29,3 месяца,40000
Экономист-аналитик,33,2 года 10 месяцев,50000
Экономист-аналитик,27,1 год,15000
Экономист-аналитик,29,7 месяцев,35000
Аналитик Excel,27,,30000
Помощник аналитика,26,,70000
Экономист-аналитик,30,1 год 3 месяца,60000
Экономист-аналитик,34,,45000
Бизнес-аналитик,25,5 месяцев,40000
Аналитик-стажер,26,,30000
Экономист-аналитик,25,1 год 2 месяца,70000
Аналитик данных,33,2 года 9 месяцев,75000
Трейдер-аналитик,27,2 месяца,200000
Бизнес-аналитик,29,,50000
стажер-аналитик,28,,20000
Экономист-аналитик,32,2 года 4 месяца,30000
Трейдер-аналитик,40,2 года 1 месяц,120000
Младший аналитик,27,,25000
Младший аналитик,28,6 месяцев,45000
Аналитик-стажер,27,,25000
Бизнес-аналитик,30,2 года 10 месяцев,55000
Кредитный аналитик,50,,30000
Экономист-аналитик,28,2 года 7 месяцев,40000
Химик-аналитик,29,1 год 2 месяца,35000
Системный аналитик,25,,30000
Финансовый аналитик,39,,60000
Инженер-аналитик,32,3 месяца,30000
Финансовый аналитик,30,9 месяцев,30000
IT аналитик,29,,25000
Финансовый аналитик,36,,73352
Финансовый аналитик / Младший финансовый аналитик,30,1 год 1 месяц,45000
Финансовый аналитик,30,,50000
Стажер-аналитик,34,6 месяцев,25000
Аналитик-экономист,32,1 год 2 месяца,30000
Финансовый аналитик,28,7 месяцев,35000
Бизнес-аналитик,29,,40000
Аналитик -маркетолог,44,1 год 6 месяцев,17000
Младший аналитик,27,,30000
Бизнес-аналитик,26,2 года 4 месяца,20000
Стажер-аналитик,26,6 месяцев,30000
Маркетолог-аналитик,25,,50000
Инвестиционный аналитик,32,2 года 6 месяцев,80000
Аналитик-стажер,30,,20000
Экономист-аналитик,29,4 месяца,40000
Бизнес-аналитик,28,6 месяцев,30000
Бизнес-аналитик,30,11 месяцев,40000
Экономист-аналитик,35,2 года 10 месяцев,40000
Экономист-аналитик,54,,40000
Analyst assistant- sales manager,30,,15000
ECM/Research/Equity Sales Analyst,36,1 год 7 месяцев,70000
Business Analyst- Manager- Finance Specialist,33,,75000
Economist-mathematician- analyst- risk-manager,36,2 года 8 месяцев,40000
Бизнес-аналитик- стажёр бизнес-аналитик,23,,70000
Начинающий специалист- Кредитный аналитик- Бизнес-аналитик- Младший аналитик,30,4 месяца,35000
Помощник финансового аналитика/финансовый аналитик,37,6 месяцев,24000
Аналитик-стажер/ младший системный аналитик,28,,35000
Аналитик данных,22,4 месяца,80000
Аналитик-экономист- специалист- помощник аналитика,29,2 года,45000
Спортивный аналитик- Корреспондент,32,9 месяцев,30000
Стажёр бизнес-аналитик,29,,13000
ассистент маркетолога-аналитика,32,10 месяцев,30000
Младший финансовый аналитик,28,,10000
Младший финансовый аналитик,28,,80000
Официант-бармен- Аналитик -,27,,30000
Спортивный аналитик / Букмекер,34,1 год,40000
Аналитик футбольных матчей,24,,20000
Data Scientist- аналитик,30,10 месяцев,60000
Помощник финансового аналитика,39,,15000
младший аналитик СМИ,34,,40000
Ассистент финансового аналитика,33,,25000
финансовый аналитик/ брокер,36,1 год 9 месяцев,91690
Тайный покупатель (Аналитик),40,,30000
финансовый менеджер аналитик,33,5 месяцев,50000
Контент-менеджер- аналитик,37,3 года,25000
Финансовый аналитик-стажер,34,5 месяцев,40000
хроматографист-химик -аналитик,30,,50000
Младший финансовый аналитик,26,2 года 3 месяца,70000
Стажер/Младший аналитик,28,1 год 3 месяца,50000
Экономист- финансовый аналитик,29,1 год 2 месяца,40000
Начинающий специалист- Аналитик,30,1 год 2 месяца,40000
Экономист/финансовый аналитик,36,1 год 2 месяца,30000
Аналитик - менеджер проектов,42,,50000
Младший финансовый аналитик,26,7 месяцев,40000
Аналитик (онлайн игры),32,7 месяцев,20000
аналитик- тест мастер,34,1 год 2 месяца,25000
Финансист-аналитик- Страхование,33,5 месяцев,25000
Помощник финансового аналитика,32,,28000
Контент-менеджер / аналитик,32,1 год 7 месяцев,27000
Финансовый аналитик-стажер,32,1 год 5 месяцев,40000
аналитик- менеджер ВЭД,50,1 год 6 месяцев,60000
Маркетолог-аналитик- менеджер,30,,30000
Аналитик по продажам,32,1 год,40000
Младший финансовый аналитик,29,9 месяцев,40000
Программист/системный аналитик,42,2 года 4 месяца,40000
Аналитик/Менеджер проекта,40,2 года 9 месяцев,40000
Программист- Аналитик-Менеджер,34,11 месяцев,30000
Аналитик- проектный менеджер.,30,2 года 9 месяцев,50000
Аналитик Бизнес/Финансы,32,5 месяцев,45000
Экономист-математик(аналитик),32,8 месяцев,40000
Аналитик бизнес-процессов,30,,60000
Ассистент финансового аналитика,28,8 месяцев,20000
Ассистент финансового аналитика,30,5 месяцев,50000
Спортивный аналитик - математик,30,,45000
Аналитик бизнес-процессов,59,9 месяцев,50000
Аналитик Департамента безопасности,42,,50000
ассистент финансового аналитика,34,,25000
Аудитор- Финансовый Аналитик,29,1 год 2 месяца,25000
Аналитик- репетитор- преподаватель,33,,40000
Главный специалист- аналитик,52,9 месяцев,60000
Аналитик отдела продаж,27,1 год 2 месяца,20000
экономист- финансовый аналитик,37,1 год 11 месяцев,150000
Начинающий специалист- Аналитик,29,,15000
Помощник финансового аналитика,29,1 год 5 месяцев,50000
Младший финансовый аналитик,28,1 год 1 месяц,35000
Спортивный аналитик live,27,,50000
Аналитик инвестиционно-финансовый,74,,70000
Аналитик финансовых рынков,32,,20000
Младший финансовый аналитик,29,1 год 4 месяца,45000
Младший финансовый аналитик,27,1 год 9 месяцев,50000
Media buyer/ revenue analyst/ account manager,29,2 года 7 месяцев,60000
Business Analyst/Researcher,35,2 года 5 месяцев,65000
экономист- Финансовый аналитик,32,6 месяцев,30000
Младший финансовый аналитик- финансовый аналитик,33,2 года 7 месяцев,45000
Аналитик бизнес-процессов,33,1 год 8 месяцев,35000
Финансовый аналитик,54,4 месяца,50000
Аналитик социальной сферы,32,1 год 1 месяц,90000
Спортивный аналитик Live,37,9 месяцев,45000
Бухгалтер- экономист- аналитик,29,,30000
Финансовый аналитик-стажер,33,10 месяцев,60000
Спортивный аналитик- букмекер,28,1 год 6 месяцев,30000
химик / химик-аналитик,37,,23000
Младший Бизнес-аналитик,24,,18000
финансовый аналитик- экономист,37,1 год 2 месяца,25000
Младший финансовый аналитик,33,10 месяцев,30000
Финансовый аналитик-экономист,30,1 год 9 месяцев,30000
Финансовый менеджер- аналитик,27,10 месяцев,50000
Финансовый аналитик-стажер,26,10 месяцев,35000
Младший финансовый аналитик,28,1 год 11 месяцев,40000
Аналитик- начинающий специалист,30,,45000
экономист- экономист-аналитик,34,2 года,50000
